city,state
Montgomery,Alabama
Juneau,Alaska
Pago Pago,American Samoa
Phoenix,Arizona
Little Rock,Arkansas
Sacramento,California
Denver,Colorado
Hartford,Connecticut
Dover,Delaware
Washington,District of Columbia
Tallahassee,Florida
Atlanta,Georgia
Hagåtña,Guam
Hagatna,Guam
Honolulu,Hawaii
Boise,Idaho
Springfield,Illinois
Indianapolis,Indiana
Des Moines,Iowa
Topeka,Kansas
Frankfort,Kentucky
Baton Rouge,Louisiana
Augusta,Maine
Annapolis,Maryland
Boston,Massachusetts
Lansing,Michigan
Saint Paul,Minnesota
St. Paul,Minnesota
Jackson,Mississippi
Jefferson City,Missouri
Helena,Montana
Lincoln,Nebraska
Carson City,Nevada
Concord,New Hampshire
Trenton,New Jersey
Santa Fe,New Mexico
Albany,New York
Raleigh,North Carolina
Bismarck,North Dakota
Saipan,Northern Mariana Islands
Columbus,Ohio
Oklahoma City,Oklahoma
Salem,Oregon
Harrisburg,Pennsylvania
San Juan,Puerto Rico
Providence,Rhode Island
Columbia,South Carolina
Pierre,South Dakota
Nashville,Tennessee
Austin,Texas
Charlotte Amalie,U.S. Virgin Islands
Salt Lake City,Utah
Montpelier,Vermont
Richmond,Virginia
Olympia,Washington
Charleston,West Virginia
Madison,Wisconsin
Cheyenne,Wyoming